Client;Host Name;Tipo;Responsavel pelo Servidor;Email principal;Email Alternativo;Área ou Projeto;AR da Área ou Projeto
A_ISILON;10.134.160.14;Apliance; INFRA ESSENTIALS;supso@g.globo;;Gerenciade Servidores;0
CLHAORASR001;CLHAORASR001;Banco de Dados Oracle;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
CLHAORASR001;10.214.2.7;Banco de Dados Oracle;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
clhaorasr002;CLHAORASR002;Banco de Dados Oracle;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
clhaorasr002;10.214.2.5;Banco de Dados Oracle;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
clhaorasr010;10.118.37.68;Banco de Dados Oracle;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
clhaorasr099;CLHAORASR099;Banco de Dados Oracle;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
clhaorasr099;10.214.2.99;Banco de Dados Oracle;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
clhasqlsr001;10.114.17.74;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
CLHASQLSR002;CLHASQLSR002;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
CLHASQLSR002;10.214.3.8;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
clhasqlsr003;CLHASQLSR003;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
clhasqlsr003;10.214.3.9;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
clhasqlsr004;CLHASQLSR004;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
clhasqlsr004;10.214.3.10;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
clhasqlsr005;10.118.32.8;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
CLHASQLSR006;CLHASQLSR006;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
CLHASQLSR006;10.214.3.20;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
CLHASQLSR007;CLHASQLSR007;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
CLHASQLSR007;10.214.3.21;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
CLHASQLSR008;CLHASQLSR008;Banco de dados SQL Server;DB Producação;dbproducao@g.globo;;Gerencia de Banco de Dados;0
